htid,title,org
hvd.li239p,The Ladies' garment worker ,International Ladies' Garment Workers' Union 
hvd.li2qu7,Proceedings of the ... convention of the Industrial Workers of the World ,Industrial Workers of the World 
iau.31858009952296,"Study financing and organization of the tax-supported system of education in Iowa. Preliminary materials, higher education section ",League of Women Voters of Iowa 
hvd.li5gke,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
iau.31858016261533,Financing and organization of the tax-supported system of education in Iowa ,League of Women Voters of Iowa 
iau.31858045582420,Industrial pioneer ,Industrial Workers of the World General Executive Board. 
hvd.li5jki,"Minimum wage commissions current facts, Nov., 1919 ",National Consumers' League 
iau.31858045163148,Labor age ,Intercollegiate Socialist Society (U.S.) 
iau.31858045163148,The intercollegiate socialist ,Intercollegiate Socialist Society (U.S.) 
hvd.rslxpa,Behind the scenes in a restaurant a study of 1017 women restaurant employees ,Consumers' League of New York City 
iau.31858045163155,The intercollegiate socialist ,Intercollegiate Socialist Society (U.S.) 
iau.31858034134795,A first [and] second look at individual liberties ,"League of Women Voters of Iowa City, Iowa "
iau.31858046058511,The One big union monthly ,Industrial Workers of the World 
iau.31858045163155,Labor age ,Intercollegiate Socialist Society (U.S.) 
iau.31858049003779,You are democracy a handbook for Iowa citizens ,"League of Women Voters of Iowa City, Iowa "
iau.31858046058511,The One big union monthly ,Industrial Workers of the World General Executive Board. 
ien.35556003706785,Illinois voters' handbook ,League of Women Voters of Champaign County 
ien.35556002860955,One big union monthly ,Industrial Workers of the World 
ien.35556021790043,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556003706793,Illinois voters' handbook ,League of Women Voters of Champaign County 
ien.35556002936961,Handbook of trade union methods ,International Ladies' Garment Workers' Union 
ien.35556021790050,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556020525689,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556018017061,"The key to our local government Chicago, Cook County, metropolitan area ","League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556021790050,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
ien.35556020525689,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556021790050,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556021790050,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556021878988,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556021891593,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
ien.35556022865364,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556022999098,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556023073869,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556026700013,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556021790043,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
ien.35556026779348,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556026779611,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556028027365,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
ien.35556028035533,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556030855258,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556030855258,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556021790043,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556032881500,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556021790209,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556021790209,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556021807136,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556021885181,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556021891593,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
ien.35556021891593,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556021878988,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556022865364,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
ien.35556021972583,"One man, one vote ",League of Women Voters of Cleveland 
ien.35556021977335,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
ien.35556021977335,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556022865364,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556022865364,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
ien.35556022865364,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556022999098,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556023073869,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
ien.35556023074180,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
ien.35556035743921,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556023074180,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556035743939,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556023074180,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556023074180,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
ien.35556026411637,Illinois voters' handbook ,League of Women Voters of Champaign County 
ien.35556023074180,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556026675447,Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556026779348,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
ien.35556026356584,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556035743939,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556035954965,CORE ,Congress of Racial Equality 
ien.35556035954965,Equal opportunity employment journal ,Congress of Racial Equality 
ien.35556037946118,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
ien.35556026675447,Who represents me? Suburban Cook County ,"League of Women Voters of Cook County (Cook County, Ill.) "
ien.35556026779348,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556037946118,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556026779348,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
ien.35558005375379,Tuberculosis and the Negro in Pittsburgh a report ,"Witchen, Elsie. "
ien.35556026779348,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
inu.30000004390302,State we're in--Washington ,League of Women Voters of Washington 
chi.40798587,Proceedings of the second annual convention of the Industrial Workers of the World ,"Industrial Workers of the World Convention (2nd : 1906 : Chicago, Ill.) "
ien.35556028027365,S.C.L.C ,Southern Christian Leadership Conference 
ien.35556028027365,"SCLC (Atlanta, Ga.) ",Southern Christian Leadership Conference 
ien.35556028027365,SCLC the Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
ien.35556028035533,Southern Christian Leadership Conference ,Southern Christian Leadership Conference 
inu.30000004949644,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
ien.35556028035533,Southern Christian Leadership Conference national magazine ,Southern Christian Leadership Conference 
inu.30000008437562,Monroe County governmental officials list ,League of Women Voters of Bloomington-Monroe County 
inu.30000010423329,Report of the General Executive Board to the ... Convention ,International Ladies' Garment Workers' Union General Executive Board. 
inu.30000045108879,"Progressive Party election campaign, Sea Point, 1970 ",Progressive Party of South Africa 
inu.30000047799543,A history of the International Ladies' Garment Workers' Union ,International Ladies' Garment Workers' Union 
inu.30000050063118,Directory of local government officials ,"League of Women Voters of Bloomington, Indiana "
inu.30000050063118,Directory of Monroe County governmental officials 1975 ,"League of Women Voters of Bloomington, Indiana "
inu.30000050063118,Governmental officials 1974 ,"League of Women Voters of Bloomington, Indiana "
inu.30000050063118,Governmental officials list 1973 ,League of Women Voters of Bloomington-Monroe County 
inu.30000050063118,Officialist now <1970>-1972 ,League of Women Voters of Bloomington-Monroe County 
inu.30000050063159,Directory of local government officials ,"League of Women Voters of Bloomington, Indiana "
inu.30000050063159,Directory of Monroe County governmental officials 1975 ,"League of Women Voters of Bloomington, Indiana "
inu.30000050063159,"Elected and appointed city, county, and township officials and commissions as of ",League of Women Voters (U.S.) Education Fund. 
